#{"t_start": 1710455087.7598567, "env_id": "BipedalWalker-v3"}
r,l,t
314.854981,796,11541.478007
-98.883848,71,11542.989183
316.068438,791,11561.209604
313.928,793,11581.227087
313.648326,808,11600.008611
315.821134,807,11619.556949
315.323587,800,11638.060441
314.14846,794,11658.118784
316.592959,781,11676.14907
315.961371,811,11695.661406
316.042395,802,11714.361845
314.051737,809,11734.03039
316.485818,775,11752.943099
315.105898,794,11770.92643
316.545152,778,11789.232755
316.629073,778,11808.652177
315.192861,779,11827.211435
24.004025,357,11835.251639
79.888417,485,11847.624075
315.204703,805,11867.199368
312.408928,822,11889.71453
316.70188,805,11909.870942
316.076824,788,11928.392316
314.461116,813,11948.162908
315.285091,791,11966.562753
316.436359,793,11986.137969
315.274493,799,12004.627261
315.181221,788,12024.317441
316.558273,787,12043.122522
318.002507,766,12061.347656
313.968595,811,12080.145582
196.259811,762,12098.769283
314.890674,804,12118.847874
316.972654,785,12137.980787
316.889234,793,12158.361449
314.998728,775,12176.412192
316.608774,795,12194.987653
316.227058,785,12213.121736
317.44671,790,12233.100481
315.933975,801,12252.007025
318.915142,778,12270.233505
316.78657,780,12290.280915
313.366742,783,12308.739089
314.784615,784,12327.110714
316.607095,790,12345.500471
315.581921,789,12365.504687
315.30619,800,12383.893867
318.438118,788,12404.076149
317.095182,812,12422.703196
16.528674,329,12430.331641
314.504896,800,12449.828877
317.153595,777,12468.542037
317.88693,791,12487.308783
316.843981,796,12511.337045
316.296139,806,12529.699541
319.550566,773,12547.887342
316.667279,782,12567.611989
-70.23686,126,12570.741296
316.526464,778,12589.12162
317.648201,772,12607.778389
318.002458,775,12626.316306
318.155458,779,12645.046252
318.773553,770,12663.1623
317.490306,768,12681.620347
318.580395,770,12699.918453
319.965147,795,12719.881244
317.321384,770,12738.107604
317.725279,776,12756.795068
-97.150438,68,12758.345113
318.782889,764,12776.758022
318.64566,778,12795.74435
320.487591,762,12815.071792
318.184543,753,12832.931205
319.403368,765,12851.392748
316.085177,764,12870.012392
316.758988,751,12887.081479
202.944364,730,12904.885525
-90.769226,74,12906.382705
-95.894132,60,12907.871835
320.059484,744,12924.746754
317.308806,812,12944.850337
319.36908,780,12963.044955
322.064486,788,12983.202451
320.504275,804,13001.537848
-7.655378,287,13009.241654
320.768686,778,13027.608708
319.151926,760,13046.078827
321.376837,760,13064.766991
320.8379,740,13081.635304
154.004645,642,13100.773241
320.893762,772,13119.140433
317.288621,765,13137.727415
86.973492,519,13150.317331
320.105353,804,13170.021685
321.620653,766,13188.743294
320.587536,756,13207.054034
317.22096,775,13225.742148
321.853165,770,13244.178192
322.434416,761,13262.508052
320.889794,785,13280.615042
320.291728,755,13299.109946
317.776963,785,13317.775882
318.148021,788,13336.372946
319.450028,757,13354.66713
322.203467,746,13373.525705
319.206924,788,13392.040937
68.308978,445,13402.957437
46.197642,388,13412.139088
320.555102,766,13430.621584
321.362017,776,13449.270917
319.733693,763,13467.518732
323.212834,790,13485.997967
320.103334,763,13504.631133
320.161821,772,13523.203219
320.478369,775,13543.170735
109.82809,527,13555.498279
319.914854,764,13573.847356
320.838687,758,13592.674545
319.16839,751,13609.842975
321.096578,753,13628.640999
322.410619,777,13647.148126
320.632673,784,13665.91446
319.70407,774,13685.737209
-66.727338,134,13688.941504
319.335333,762,13710.463538
319.423489,758,13727.568738
319.772549,756,13746.163033
318.475533,749,13764.807284
320.559261,742,13781.477979
320.700025,734,13800.416459
317.57299,753,13819.342605
319.776446,763,13838.010685
320.522094,752,13855.188992
-95.520591,77,13858.168452
320.655893,785,13876.367641
321.946091,746,13894.895165
322.231444,747,13912.489162
320.28784,763,13930.568614
319.576627,787,13948.349844
316.929815,753,13967.005275
319.283532,757,13985.809854
121.380625,529,13998.642906
318.440382,780,14016.925263
320.053808,765,14035.565424
320.468423,753,14054.200053
320.98927,753,14072.455644
-104.747498,77,14073.996547
318.561565,758,14092.133857
319.72297,759,14110.817855
318.143678,766,14129.097757
319.957872,747,14145.872229
-86.194952,87,14148.978039
320.73059,781,14167.811819
-99.063673,92,14169.421537
319.514065,775,14188.988729
318.399038,740,14206.009495
319.961982,765,14224.658335
320.403023,747,14243.049001
-25.454631,225,14247.411293
322.543057,751,14265.565714
319.654625,777,14284.19366
321.844144,736,14302.56281
50.416171,419,14315.28913
320.089868,766,14334.055423
319.057366,759,14352.280697
319.351145,752,14370.507305
319.141499,753,14388.923544
321.908491,750,14405.821304
318.747492,741,14424.107491
321.215294,738,14441.411355
320.880863,766,14459.437376
192.370649,695,14476.572464
319.805807,755,14495.297731
320.346341,768,14513.622855
322.224698,740,14532.135242
85.015043,481,14543.008616
319.389944,767,14561.474371
321.987876,765,14579.734558
319.295946,761,14598.124795
320.011201,764,14616.3678
320.692962,750,14635.079729
318.250335,786,14653.649981
206.615289,731,14670.230326
318.84669,746,14688.567267
321.937137,727,14705.387455
320.564262,745,14723.923857
322.954452,740,14740.575956
321.689932,741,14759.082817
320.894844,739,14777.813847
323.259096,741,14795.219294
322.105609,745,14813.919986
321.681744,731,14831.47561
319.176977,763,14850.461609
321.676059,725,14869.043428
322.51712,737,14886.163983
321.32942,761,14904.597949
322.098188,750,14927.046589
321.984816,731,14944.040555
320.632653,717,14961.140207
321.977326,734,14979.687776
323.079465,718,14997.173135
322.589898,721,15014.053373
321.675082,731,15032.543686
3.259971,295,15038.913166
322.021826,737,15057.434226
-99.213972,54,15058.946298
322.875541,742,15075.804875
65.136513,413,15086.804317
320.815032,727,15104.086591
323.250911,757,15122.895931
321.770686,758,15141.539286
321.983172,747,15158.284087
324.584776,713,15175.227253
212.256335,729,15193.529159
321.695337,730,15210.384901
322.495496,738,15229.200677
321.718549,730,15246.291719
320.795514,753,15264.886001
322.080322,742,15283.612651
41.328394,356,15291.297669
322.728637,722,15308.412567
322.195673,716,15327.151607
320.604732,733,15344.336022
322.816987,729,15361.197686
18.835861,326,15370.52676
198.998051,691,15385.859321
322.098226,744,15404.575835
321.963448,738,15423.141721
322.367265,724,15440.339945
147.003333,588,15454.238999
57.437112,430,15464.733486
166.251222,608,15478.971692
322.967582,718,15496.018878
321.962917,733,15514.582231
